trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.5, 'e': 1.0}",20,0,-46.4231757225824,"{0: 13, 1: 2, 2: 5, 3: 0, 4: 0}",0
2,False,"{'a': 0.5, 'e': 0.7999999999999998}",20,0,-180.9689983694315,"{0: 10, 1: 1, 2: 6, 3: 0, 4: 3}",0
3,False,"{'a': 0.5, 'e': 0.5999999999999996}",25,0,-38.64908947395131,"{0: 19, 1: 0, 2: 6, 3: 0, 4: 0}",0
4,False,"{'a': 0.5, 'e': 0.3499999999999994}",25,0,-101.11699281989605,"{0: 16, 1: 0, 2: 8, 3: 0, 4: 1}",0
5,False,"{'a': 0.5, 'e': 0.09999999999999924}",25,0,-161.61478912136178,"{0: 17, 1: 0, 2: 4, 3: 1, 4: 3}",0
6,False,"{'a': 0.5, 'e': -0.15000000000000074}",25,0,-182.50577702553178,"{0: 17, 1: 0, 2: 4, 3: 0, 4: 4}",0
7,False,"{'a': 0.5, 'e': -0.40000000000000097}",20,0,-193.67061190864615,"{0: 12, 1: 0, 2: 4, 3: 0, 4: 4}",0
8,False,"{'a': 0.5, 'e': -0.6000000000000011}",30,0,-177.1467813442071,"{0: 18, 1: 0, 2: 8, 3: 2, 4: 2}",0
9,False,"{'a': 0.5, 'e': -0.9000000000000014}",30,0,-187.45500030562326,"{0: 17, 1: 0, 2: 10, 3: 1, 4: 2}",0
10,False,"{'a': 0.5, 'e': -1.2000000000000015}",25,0,-153.0763019815551,"{0: 14, 1: 0, 2: 9, 3: 0, 4: 2}",0
11,False,"{'a': 0.5, 'e': -1.4500000000000017}",20,0,-69.83404377539114,"{0: 15, 1: 0, 2: 3, 3: 1, 4: 1}",0
12,False,"{'a': 0.5, 'e': -1.650000000000002}",35,23,-44.942750128109296,"{0: 9, 1: 0, 2: 2, 3: 0, 4: 1}",1
13,False,"{'a': 0.5, 'e': -1.770000000000002}",25,0,-123.64600434773115,"{0: 17, 1: 0, 2: 6, 3: 0, 4: 2}",0
14,False,"{'a': 0.5, 'e': -2.020000000000002}",20,0,-56.48171124315981,"{0: 13, 1: 0, 2: 7, 3: 0, 4: 0}",0
15,False,"{'a': 0.5, 'e': -2.2199999999999975}",35,0,-151.56110414387803,"{0: 27, 1: 0, 2: 4, 3: 1, 4: 3}",0
16,False,"{'a': 0.5, 'e': -2.56999999999999}",25,0,-75.56541078952256,"{0: 19, 1: 0, 2: 4, 3: 1, 4: 1}",0
17,False,"{'a': 0.5, 'e': -2.8199999999999847}",20,0,-29.347689359979565,"{0: 18, 1: 0, 2: 1, 3: 0, 4: 1}",0
18,False,"{'a': 0.5, 'e': -3.0199999999999805}",20,13,2.030014983970058,"{0: 6, 1: 0, 2: 1, 3: 0, 4: 0}",1
19,False,"{'a': 0.5, 'e': -3.089999999999979}",35,27,-25.62254589008043,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 1}",1
20,False,"{'a': 0.5, 'e': -3.1699999999999773}",25,0,-98.6917143306347,"{0: 19, 1: 0, 2: 4, 3: 0, 4: 2}",0
1,True,"{'a': 0.5, 'e': -3.419999999999972}",20,0,-109.85120797830294,"{0: 14, 1: 0, 2: 4, 3: 0, 4: 2}",0
2,True,"{'a': 0.5, 'e': -3.6199999999999677}",25,12,-58.078658611670534,"{0: 9, 1: 0, 2: 3, 3: 0, 4: 1}",1
3,True,"{'a': 0.5, 'e': -3.749999999999965}",25,5,-187.10886829751846,"{0: 11, 1: 0, 2: 4, 3: 2, 4: 3}",1
4,True,"{'a': 0.5, 'e': -3.9499999999999607}",20,0,-87.66456571710015,"{0: 16, 1: 0, 2: 2, 3: 0, 4: 2}",0
5,True,"{'a': 0.5, 'e': -4.149999999999957}",25,0,-150.80411254636917,"{0: 17, 1: 0, 2: 3, 3: 3, 4: 2}",0
6,True,"{'a': 0.5, 'e': -4.3999999999999515}",20,0,-172.6010740265473,"{0: 11, 1: 0, 2: 6, 3: 0, 4: 3}",0
7,True,"{'a': 0.5, 'e': -4.599999999999947}",20,0,-66.59989433418883,"{0: 13, 1: 0, 2: 6, 3: 1, 4: 0}",0
8,True,"{'a': 0.5, 'e': -4.799999999999943}",20,0,-155.26213971693352,"{0: 12, 1: 0, 2: 5, 3: 0, 4: 3}",0
9,True,"{'a': 0.5, 'e': -4.999999999999939}",20,9,5.0850727137266665,"{0: 10, 1: 0, 2: 1, 3: 0, 4: 0}",1
10,True,"{'a': 0.5, 'e': -5.109999999999936}",20,5,-12.357007205006868,"{0: 12, 1: 0, 2: 3, 3: 0, 4: 0}",1
11,True,"{'a': 0.5, 'e': -5.259999999999933}",20,0,-111.35900205057192,"{0: 14, 1: 0, 2: 3, 3: 1, 4: 2}",0
12,True,"{'a': 0.5, 'e': -5.459999999999929}",25,10,-61.613285306885075,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 2}",1
13,True,"{'a': 0.5, 'e': -5.609999999999926}",30,0,-109.66139049118128,"{0: 20, 1: 0, 2: 9, 3: 0, 4: 1}",0
14,True,"{'a': 0.5, 'e': -5.909999999999919}",20,0,-79.64461484364061,"{0: 12, 1: 0, 2: 7, 3: 1, 4: 0}",0
15,True,"{'a': 0.5, 'e': -6.109999999999915}",25,12,-64.49310332517227,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 2}",1
16,True,"{'a': 0.5, 'e': -6.239999999999912}",25,0,-71.97152841537337,"{0: 19, 1: 0, 2: 5, 3: 0, 4: 1}",0
17,True,"{'a': 0.5, 'e': -6.489999999999907}",20,0,-49.78374542483154,"{0: 16, 1: 0, 2: 3, 3: 0, 4: 1}",0
18,True,"{'a': 0.5, 'e': -6.689999999999903}",30,0,-127.40845976332331,"{0: 24, 1: 0, 2: 3, 3: 0, 4: 3}",0
19,True,"{'a': 0.5, 'e': -6.989999999999896}",20,0,-59.686525515337806,"{0: 18, 1: 0, 2: 0, 3: 0, 4: 2}",0
20,True,"{'a': 0.5, 'e': -7.189999999999892}",25,0,-167.08802498865361,"{0: 18, 1: 0, 2: 3, 3: 0, 4: 4}",0
