trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 1.0, 'e': 1.0}",20,10,-91.70739846360753,"{0: 4, 1: 0, 2: 4, 3: 1, 4: 1}",1
2,False,"{'a': 0.8, 'e': 0.9777512371933363}",25,16,-61.129980645878675,"{0: 5, 1: 0, 2: 3, 3: 0, 4: 1}",1
3,False,"{'a': 0.8, 'e': 0.9559974818331}",20,16,7.672535238803286,"{0: 4, 1: 0, 2: 0, 3: 0, 4: 0}",1
4,False,"{'a': 0.8, 'e': 0.9464851479534838}",20,9,-59.93618713673314,"{0: 7, 1: 0, 2: 3, 3: 0, 4: 1}",1
5,False,"{'a': 0.8, 'e': 0.9208114378568045}",20,0,-96.69677041457841,"{0: 10, 1: 2, 2: 6, 3: 2, 4: 0}",0
6,False,"{'a': 0.8, 'e': 0.8759029341062031}",20,0,-106.73321620322525,"{0: 14, 1: 0, 2: 4, 3: 0, 4: 2}",1
7,False,"{'a': 0.8, 'e': 0.8331846439283305}",25,0,-85.01203241513085,"{0: 18, 1: 1, 2: 4, 3: 1, 4: 1}",0
8,False,"{'a': 0.8, 'e': 0.7827045382418681}",25,5,-49.81486524358713,"{0: 13, 1: 2, 2: 4, 3: 1, 4: 0}",1
9,False,"{'a': 0.8, 'e': 0.7445315874659094}",20,2,18.31195405777608,"{0: 17, 1: 1, 2: 0, 3: 0, 4: 0}",1
10,False,"{'a': 0.8, 'e': 0.7117703227626097}",25,2,-118.74056266440267,"{0: 14, 1: 4, 2: 2, 3: 1, 4: 2}",1
11,False,"{'a': 0.8, 'e': 0.6719979426475889}",20,0,-32.007391556966645,"{0: 16, 1: 3, 2: 0, 3: 0, 4: 1}",0
12,False,"{'a': 0.8, 'e': 0.6392242162503299}",30,0,-73.78747150039302,"{0: 22, 1: 0, 2: 6, 3: 2, 4: 0}",0
13,False,"{'a': 0.8, 'e': 0.5930361029297179}",25,0,-55.23899273547464,"{0: 20, 1: 1, 2: 2, 3: 1, 4: 1}",0
14,False,"{'a': 0.8, 'e': 0.5571058618121739}",25,10,4.4728691384719585,"{0: 14, 1: 0, 2: 0, 3: 1, 4: 0}",1
15,False,"{'a': 0.8, 'e': 0.5366012561770334}",20,9,-3.9136478315027254,"{0: 9, 1: 0, 2: 2, 3: 0, 4: 0}",1
16,False,"{'a': 0.8, 'e': 0.522045776761016}",20,0,-81.12996359072315,"{0: 14, 1: 3, 2: 1, 3: 0, 4: 2}",0
17,False,"{'a': 0.8, 'e': 0.49658530379140947}",25,0,-26.55174593481494,"{0: 19, 1: 1, 2: 5, 3: 0, 4: 0}",0
18,False,"{'a': 0.8, 'e': 0.4664987211828483}",25,6,-60.945670247784534,"{0: 12, 1: 2, 2: 3, 3: 2, 4: 0}",1
19,False,"{'a': 0.8, 'e': 0.4448580662229411}",30,20,4.050968827984448,"{0: 9, 1: 0, 2: 1, 3: 0, 4: 0}",1
20,False,"{'a': 0.8, 'e': 0.4338744814329909}",20,6,-5.194734816031492,"{0: 11, 1: 1, 2: 2, 3: 0, 4: 0}",1
21,False,"{'a': 0.8, 'e': 0.418951549247639}",20,0,-49.35084950791994,"{0: 16, 1: 0, 2: 3, 3: 0, 4: 1}",0
22,False,"{'a': 0.8, 'e': 0.39851904108451414}",20,10,-46.19755261504749,"{0: 7, 1: 1, 2: 1, 3: 0, 4: 1}",1
23,False,"{'a': 0.8, 'e': 0.388679570901753}",25,0,-57.95085597843756,"{0: 20, 1: 0, 2: 4, 3: 0, 4: 1}",0
24,False,"{'a': 0.8, 'e': 0.3651306661538433}",25,0,-40.6866106455758,"{0: 21, 1: 1, 2: 2, 3: 0, 4: 1}",1
25,False,"{'a': 0.8, 'e': 0.34300851741870664}",20,11,-34.89072762353369,"{0: 7, 1: 0, 2: 1, 3: 0, 4: 1}",1
26,False,"{'a': 0.8, 'e': 0.3353770022739925}",20,0,3.3028316157570954,"{0: 18, 1: 0, 2: 2, 3: 0, 4: 0}",0
27,False,"{'a': 0.8, 'e': 0.31902047286386453}",20,3,-26.833437209668006,"{0: 15, 1: 0, 2: 1, 3: 0, 4: 1}",1
28,False,"{'a': 0.8, 'e': 0.30574617949871175}",25,18,9.80974280075569,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
29,False,"{'a': 0.8, 'e': 0.3004421668304638}",20,8,1.3187607110631552,"{0: 10, 1: 1, 2: 1, 3: 0, 4: 0}",1
30,False,"{'a': 0.8, 'e': 0.29156275889025945}",25,16,13.658869718732685,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
31,False,"{'a': 0.8, 'e': 0.28507584822445353}",25,2,21.383986578465368,"{0: 22, 1: 0, 2: 1, 3: 0, 4: 0}",1
32,False,"{'a': 0.8, 'e': 0.26914634872918386}",30,19,-27.508229245566692,"{0: 8, 1: 0, 2: 2, 3: 1, 4: 0}",1
33,False,"{'a': 0.8, 'e': 0.261845668580326}",25,0,-4.9971067600110395,"{0: 23, 1: 0, 2: 1, 3: 1, 4: 0}",0
34,False,"{'a': 0.8, 'e': 0.24598124150548634}",25,20,9.546689930577307,"{0: 5, 1: 0, 2: 0, 3: 0, 4: 0}",1
