trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.5, 'e': 1.0}",20,0,-95.33290363964662,"{0: 11, 1: 4, 2: 4, 3: 0, 4: 1}",0
2,False,"{'a': 0.5, 'e': 1.0}",20,0,-138.65491187760657,"{0: 9, 1: 3, 2: 5, 3: 2, 4: 1}",0
3,False,"{'a': 0.5, 'e': 1.0}",20,0,-35.53557079403561,"{0: 15, 1: 1, 2: 3, 3: 1, 4: 0}",0
4,False,"{'a': 0.5, 'e': 1.0}",35,0,-189.38073138339718,"{0: 19, 1: 5, 2: 7, 3: 2, 4: 2}",0
5,False,"{'a': 0.5, 'e': 1.0}",35,0,-143.00111081638067,"{0: 21, 1: 5, 2: 6, 3: 2, 4: 1}",0
6,False,"{'a': 0.5, 'e': 1.0}",25,0,-140.41949679604625,"{0: 13, 1: 3, 2: 6, 3: 2, 4: 1}",0
7,False,"{'a': 0.5, 'e': 1.0}",20,0,-144.276831637627,"{0: 10, 1: 3, 2: 4, 3: 1, 4: 2}",0
8,False,"{'a': 0.5, 'e': 1.0}",20,0,-102.288730081436,"{0: 10, 1: 5, 2: 3, 3: 1, 4: 1}",0
9,False,"{'a': 0.5, 'e': 1.0}",20,12,-7.902039891826598,"{0: 6, 1: 0, 2: 2, 3: 0, 4: 0}",1
10,False,"{'a': 0.5, 'e': 1.0}",25,3,-141.4966294349111,"{0: 12, 1: 2, 2: 5, 3: 1, 4: 2}",1
11,False,"{'a': 0.5, 'e': 1.0}",30,0,-192.36780230708717,"{0: 14, 1: 1, 2: 12, 3: 2, 4: 1}",0
12,False,"{'a': 0.5, 'e': 1.0}",25,0,-187.52517474926708,"{0: 13, 1: 3, 2: 5, 3: 1, 4: 3}",0
13,False,"{'a': 0.5, 'e': 1.0}",20,0,-46.60986441495153,"{0: 14, 1: 1, 2: 4, 3: 1, 4: 0}",0
14,False,"{'a': 0.5, 'e': 1.0}",30,11,-117.60981194231717,"{0: 10, 1: 0, 2: 7, 3: 1, 4: 1}",1
15,False,"{'a': 0.5, 'e': 1.0}",20,0,-97.5143301739715,"{0: 15, 1: 0, 2: 2, 3: 1, 4: 2}",0
16,False,"{'a': 0.5, 'e': 1.0}",20,0,-90.1662580137966,"{0: 13, 1: 1, 2: 4, 3: 1, 4: 1}",0
17,False,"{'a': 0.5, 'e': 1.0}",25,0,-190.53623438886308,"{0: 16, 1: 1, 2: 4, 3: 0, 4: 4}",0
18,False,"{'a': 0.5, 'e': 1.0}",20,0,-170.5907131175852,"{0: 8, 1: 0, 2: 8, 3: 3, 4: 1}",0
19,False,"{'a': 0.5, 'e': 1.0}",25,0,-31.476502398666995,"{0: 18, 1: 4, 2: 3, 3: 0, 4: 0}",0
20,False,"{'a': 0.5, 'e': 1.0}",25,0,-86.99943106598022,"{0: 15, 1: 1, 2: 8, 3: 1, 4: 0}",0
1,True,"{'a': 0.5, 'e': 1.0}",25,1,-44.476024218237384,"{0: 18, 1: 2, 2: 3, 3: 1, 4: 0}",1
2,True,"{'a': 0.5, 'e': 1.0}",20,0,-119.8286330585171,"{0: 13, 1: 1, 2: 3, 3: 1, 4: 2}",0
3,True,"{'a': 0.5, 'e': 1.0}",20,0,-47.952013337853046,"{0: 16, 1: 0, 2: 3, 3: 0, 4: 1}",0
4,True,"{'a': 0.5, 'e': 1.0}",20,0,-96.35179472433197,"{0: 15, 1: 1, 2: 1, 3: 1, 4: 2}",0
5,True,"{'a': 0.5, 'e': 1.0}",25,0,-101.73247897533146,"{0: 12, 1: 5, 2: 7, 3: 1, 4: 0}",0
6,True,"{'a': 0.5, 'e': 1.0}",25,0,-88.75344901183375,"{0: 15, 1: 5, 2: 3, 3: 1, 4: 1}",0
7,True,"{'a': 0.5, 'e': 1.0}",30,0,-118.6467797103352,"{0: 20, 1: 2, 2: 6, 3: 0, 4: 2}",0
8,True,"{'a': 0.5, 'e': 1.0}",20,0,-60.3275719675533,"{0: 12, 1: 6, 2: 1, 3: 0, 4: 1}",0
9,True,"{'a': 0.5, 'e': 1.0}",20,0,-64.97581712432863,"{0: 11, 1: 3, 2: 6, 3: 0, 4: 0}",0
10,True,"{'a': 0.5, 'e': 1.0}",20,0,-53.24478519750546,"{0: 12, 1: 3, 2: 5, 3: 0, 4: 0}",0
